Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Volume,Exit_Volume,PnL_Points,PnL_Pct
2019-06-20,2019-06-21,11831.75,11724.1,442020000000.0,468430000000.0,-107.65,-0.91
2019-06-25,2019-06-28,11796.45,11788.85,300480000000.0,303890000000.0,-7.6,-0.06
2019-07-02,2019-07-05,11910.3,11814.7,363200000000.0,530700.0,-95.6,-0.8
2019-07-16,2019-07-17,11662.6,11687.5,480160000000.0,464830000000.0,24.9,0.21
2019-08-06,2019-08-07,10948.25,10855.5,517890000000.0,548500.0,-92.75,-0.85
2019-08-08,2019-08-09,11032.4501953125,11109.650390625,482500.0,538100.0,77.2,0.7
2019-08-26,2019-08-28,11057.849609375,11046.099609375,684100.0,550000.0,-11.75,-0.11
2019-08-30,2019-09-03,11023.25,10874.8,628150000000.0,483040000000.0,-148.45,-1.35
2019-09-06,2019-09-12,10946.2,10982.8,497210000000.0,551440000000.0,36.6,0.33
2019-10-09,2019-10-10,11313.2998046875,11234.5498046875,741100.0,562000.0,-78.75,-0.7
2019-10-11,2019-11-13,11305.0498046875,11826.982731584822,737800.0,659040000000.0,521.93,4.62
2019-11-20,2019-11-21,11999.1,11966.05,646660000000.0,557690000000.0,-33.05,-0.28
2019-11-25,2019-12-03,12073.75,11982.239285714286,534300.0,605800.0,-91.51,-0.76
2019-12-12,2019-12-26,11971.8,12122.694361049107,752620000000.0,520300.0,150.89,1.26
2019-12-27,2019-12-31,12245.8,12157.9,383790000000.0,426930000000.0,-87.9,-0.72
2020-01-02,2020-01-03,12282.2,12195.25,407700000000.0,428770000000.0,-86.95,-0.71
2020-01-09,2020-01-21,12215.9,12216.081303013392,477470000000.0,443980000000.0,0.18,0.0
2020-01-24,2020-01-27,12248.25,12149.650390625,593200.0,441160000000.0,-98.6,-0.81
2020-02-04,2020-02-10,11979.65,12031.5,560430000000.0,524710000000.00006,51.85,0.43
2020-02-11,2020-02-14,12107.9,12099.0,479980000000.0,622780000000.0,-8.9,-0.07
2020-02-19,2020-02-20,12125.900390625,12080.85,513600.0,502600000000.0,-45.05,-0.37
2020-03-26,2020-03-27,8641.45,8660.25,865590000000.0,801500.0,18.8,0.22
2020-03-31,2020-04-01,8597.75,8358.0,712660000000.0,506300.0,-239.75,-2.79
2020-04-22,2020-05-04,9187.2998046875,9429.638521205356,734400.0,687490000000.0,242.34,2.64
2020-05-13,2020-05-14,9383.5498046875,9351.099609375,846400.0,602560000000.0,-32.45,-0.35
2020-05-20,2020-05-21,9066.5498046875,9106.25,622300.0,631540000000.0,39.7,0.44
2020-05-27,2020-06-11,9314.9501953125,9961.479974888392,763500.0,715450000000.0,646.53,6.94
2020-06-18,2020-07-14,10091.65,10625.168596540178,622900000000.0,532400.0,533.52,5.29
2020-07-17,2020-07-31,10901.7,11039.373272879464,676880000000.0,642560000000.0,137.67,1.26
2020-08-04,2020-08-31,11095.25,11536.9593359375,625700.0,1371800.0,441.71,3.98
2020-09-10,2020-09-21,11449.25,11372.933696986607,679420000000.0,602900.0,-76.32,-0.67
2020-09-25,2020-09-28,11050.25,11227.55,559600.0,472780000000.0,177.3,1.6
2020-10-01,2020-10-15,11416.9501953125,11712.018671875001,447700.0,608870000000.0,295.07,2.58
2020-10-19,2020-10-21,11873.0498046875,11820.400390625,541400.0,623660000000.0,-52.65,-0.44
2020-11-03,2020-11-25,11813.5,12839.316202566964,674300.0,679010000000.0,1025.82,8.68
2020-12-01,2020-12-21,13109.0498046875,13531.169260602679,583600.0,687250000000.0,422.12,3.22
2020-12-23,2021-01-15,13601.099609375,14378.978747209821,458700.0,789560000000.0,777.88,5.72
2021-01-19,2021-01-22,14521.15,14400.28697265625,546110000000.0,776750000000.0,-120.86,-0.83
2021-02-01,2021-02-19,14281.2001953125,15055.337882254464,870500.0,712210000000.0,774.14,5.42
2021-02-24,2021-02-26,14982.0,14776.630000000001,403800.0,1103640000000.0,-205.37,-1.37
2021-03-02,2021-03-15,14919.1,14814.987586495536,621720000000.0,467470000000.0,-104.11,-0.7
2021-03-23,2021-03-24,14814.75,14707.0,474150000000.0,456400000000.0,-107.75,-0.73
2021-03-30,2021-03-31,14845.1,14690.7,594520000000.0,436870000000.0,-154.4,-1.04
2021-04-01,2021-04-05,14867.35,14692.45,430030000000.0,500480000000.0,-174.9,-1.18
2021-04-07,2021-04-12,14819.05,14649.85,476380000000.0,638480000000.0,-169.2,-1.14
2021-04-15,2021-04-16,14581.45,14617.85,556850000000.0,568570000000.0,36.4,0.25
2021-04-26,2021-04-30,14485.0,14631.1,448530000000.0,594740000000.0,146.1,1.01
2021-05-06,2021-05-14,14724.7998046875,14611.502907366072,467800.0,620700.0,-113.3,-0.77
2021-05-17,2021-06-17,14923.150390625,15651.920638950893,546400.0,357650000000.0,728.77,4.88
2021-06-22,2021-06-23,15772.75,15752.1,322240000000.0,287540000000.0,-20.65,-0.13
2021-06-25,2021-06-29,15860.35,15772.3,314610000000.0,360330000000.0,-88.05,-0.56
2021-07-05,2021-07-08,15834.349609375,15762.0498046875,207000.0,307930000000.0,-72.3,-0.46
2021-07-13,2021-07-19,15812.349609375,15750.2743359375,246700.0,242130000000.0,-62.08,-0.39
2021-07-22,2021-07-27,15824.05,15726.4,265250000000.0,311000.0,-97.65,-0.62
2021-07-29,2021-07-30,15778.45,15763.0498046875,401580000000.0,400000.0,-15.4,-0.1
2021-08-02,2021-08-20,15885.150390625,16434.83923549107,244800.0,350820000000.0,549.69,3.46
2021-08-24,2021-09-20,16624.599609375,17514.65048549107,275400.0,339100000000.0,890.05,5.35
2021-09-23,2021-09-28,17822.94921875,17662.048649553573,320500.0,398000000000.0,-160.9,-0.9
2021-10-04,2021-10-20,17691.25,18255.468270089284,295760000000.0,371280000000.0,564.22,3.19
2021-10-26,2021-10-28,18268.400390625,18099.30078125,341400.0,374210000000.0,-169.1,-0.93
2021-11-01,2021-11-02,17929.65,17888.95,281190000000.0,296440000000.0,-40.7,-0.23
2021-11-08,2021-11-11,18068.55,17836.1,338920000000.0,232100.0,-232.45,-1.29
2021-11-12,2021-11-17,18102.75,17905.9,249110000000.0,295700.0,-196.85,-1.09
2021-12-02,2021-12-03,17401.65,17196.69921875,279870000000.0,292500.0,-204.95,-1.18
2021-12-08,2021-12-13,17469.75,17368.25,257790000000.00003,256560000000.0,-101.5,-0.58
2021-12-22,2021-12-23,16955.45,17072.6,207950000000.0,196970000000.0,117.15,0.69
2021-12-28,2021-12-30,17233.25,17161.150390625,176000.0,320830000000.0,-72.1,-0.42
2021-12-31,2022-01-19,17354.05078125,18012.215234375,167000.0,276660000000.0,658.16,3.79
2022-02-01,2022-02-03,17576.849609375,17560.2,386400.0,226610000000.0,-16.65,-0.09
2022-02-09,2022-02-11,17463.80078125,17339.0,236400.0,253100.0,-124.8,-0.71
2022-02-15,2022-02-16,17352.44921875,17322.2,298700.0,244550000000.0,-30.25,-0.17
2022-02-28,2022-03-02,16793.9,16605.95,404210000000.0,517720000000.0,-187.95,-1.12
