Date,Type,Entry_Time,Exit_Time,Entry_P,Exit_P,PnL_Pct,Reason
2017-05-30,LONG,10:30:00,11:40:00,9595.3,9605.992142857143,0.11,SL/Trail
2017-06-30,SHORT,10:30:00,10:35:00,9481.2,9478.5,0.03,SL/Trail
2017-07-03,SHORT,10:25:00,10:40:00,9577.05,9588.121428571429,-0.12,SL/Trail
2017-07-12,LONG,10:20:00,10:25:00,9795.85,9805.95,0.1,SL/Trail
2017-08-28,SHORT,10:00:00,10:10:00,9902.15,9907.45,-0.05,SL/Trail
2017-09-15,LONG,09:50:00,10:50:00,10056.15,10056.999285714286,0.01,SL/Trail
2017-09-21,LONG,10:10:00,10:15:00,10089.7,10139.0,0.49,SL/Trail
2017-09-28,SHORT,10:20:00,10:25:00,9743.1,9738.3,0.05,SL/Trail
2017-11-06,LONG,10:00:00,11:25:00,10430.15,10443.74,0.13,SL/Trail
2017-11-08,LONG,10:10:00,10:15:00,10344.95,10355.5,0.1,SL/Trail
2017-11-16,SHORT,10:25:00,11:10:00,10165.15,10161.648571428572,0.03,SL/Trail
2017-11-17,SHORT,09:30:00,09:50:00,10314.1,10338.35,-0.24,SL/Trail
2017-11-20,LONG,10:25:00,10:40:00,10272.85,10266.1,-0.07,SL/Trail
2017-12-05,SHORT,10:30:00,10:50:00,10099.75,10101.705,-0.02,SL/Trail
2018-02-16,SHORT,09:20:00,10:30:00,10586.8,10573.644285714287,0.12,SL/Trail
2018-02-27,LONG,10:20:00,10:25:00,10554.65,10604.1,0.47,SL/Trail
2018-03-09,SHORT,10:05:00,10:10:00,10283.3,10276.55,0.07,SL/Trail
2018-03-14,LONG,09:40:00,09:45:00,10381.0,10387.0,0.06,SL/Trail
2018-04-26,LONG,10:30:00,11:35:00,10585.2,10575.747142857143,-0.09,SL/Trail
2018-05-10,LONG,10:10:00,10:15:00,10762.0,10771.0,0.08,SL/Trail
2018-05-22,SHORT,10:00:00,10:05:00,10545.45,10532.15,0.13,SL/Trail
2018-06-28,SHORT,10:10:00,10:15:00,10662.7,10662.45,0.0,SL/Trail
2018-07-13,LONG,10:25:00,10:30:00,11016.85,11035.3,0.17,SL/Trail
2018-08-06,LONG,10:15:00,10:20:00,11391.4,11397.85,0.06,SL/Trail
